0,0
1,80
2,180
3,320
4,500
5,720
6,980
7,1280
8,1620
9,2000
10,2420
11,2880
12,3380
13,3920
14,4500
15,5120
16,5780
17,6480
18,7220
19,8000
20,8820
21,9680
22,10580
23,11520
24,12500
25,13520
26,14580
27,15680
28,16820
29,18000
30,19220
31,20480
32,21780
33,23120
34,24500
35,25920
36,27380
37,28880
38,30420
39,32000
40,33620
41,35280
42,36980
43,38720
44,40500
45,42320
46,44180
47,46080
48,48020
49,50000
50,52020
51,54080
52,56180
53,58320
54,60500
55,62720
56,64980
57,67280
58,69620
59,72000
60,74420
61,76880
62,79380
63,81920
64,84500
65,87120
66,89780
67,92480
68,95220
69,98000
70,100820
71,103680
72,106580
73,109520
74,112500
75,115520
76,118580
77,121680
78,124820
79,128000
80,131220
81,134480
82,137780
83,141120
84,144500
85,147920
86,151380
87,154880
88,158420
89,162000
90,165620
91,169280
92,172980
93,176720
94,180500
95,184320
96,188180
97,192080
98,196020
99,200000
100,204020
